scientific_name,geometry
Pinus longaeva D.K.Bailey,"c(-114.909247, 38.507958)"
Pinus longaeva D.K.Bailey,"c(-114.905663, 38.510467)"
Pinus longaeva D.K.Bailey,"c(-114.906097, 38.51255)"
Pinus longaeva D.K.Bailey,"c(-114.972642, 38.421817)"
Pinus longaeva D.K.Bailey,"c(-114.974512, 38.420528)"
Pinus longaeva D.K.Bailey,"c(-114.976167, 38.417575)"
Pinus longaeva D.K.Bailey,"c(-114.976403, 38.417297)"
Pinus longaeva D.K.Bailey,"c(-114.150422, 39.233412)"
Pinus longaeva D.K.Bailey,"c(-114.156678, 39.233837)"
Pinus longaeva D.K.Bailey,"c(-114.181022, 39.258647)"
Pinus longaeva D.K.Bailey,"c(-114.180512, 39.26492)"
Pinus longaeva D.K.Bailey,"c(-114.180588, 39.269233)"
Pinus longaeva D.K.Bailey,"c(-114.180862, 39.279962)"
Pinus longaeva D.K.Bailey,"c(-114.204675, 39.2641)"
Pinus longaeva D.K.Bailey,"c(-114.208367, 39.255572)"
Pinus longaeva D.K.Bailey,"c(-114.208747, 39.25412)"
Pinus longaeva D.K.Bailey,"c(-114.209595, 39.252288)"
Pinus longaeva D.K.Bailey,"c(-114.209672, 39.252188)"
Pinus longaeva D.K.Bailey,"c(-114.211495, 39.247417)"
